,campanha,conjunto_anuncio,anuncio,impressoes,cliques,gasto_total,ctr (%),cpc (R$),conversões,cpa (R$),Receita,roas,data,dia_da_semana,sexo,idade
340,Blusas Inverno,Homens 18-24,Carrossel 1,14693,410,1404.19,2.79,3.42,18,78.01,2244.91,1.6,2025-04-12,Sábado,Homens,18-24
341,Camisetas Filmes,Mulheres 18-24,Video 3,17232,431,1408.08,2.5,3.27,148,9.51,16675.8,11.84,2025-04-27,Domingo,Mulheres,18-24
342,Acessorios,Mulheres 18-24,Imagem 1,10777,269,1396.26,2.5,5.19,171,8.17,9141.0,6.55,2025-04-20,Domingo,Mulheres,18-24
343,Camisetas Series,Homens 18-24,Carrossel 2,5397,485,781.11,8.99,1.61,139,5.62,6155.08,7.88,2025-04-03,Quinta-feira,Homens,18-24
344,Blusas Inverno,Homens 18-24,Video 1,11835,382,1110.12,3.23,2.91,331,3.35,16790.47,15.12,2025-04-28,Segunda-feira,Homens,18-24
345,Camisetas Filmes,Mulheres 18-24,Carrossel 1,1461,144,538.81,9.86,3.74,75,7.18,6133.36,11.38,2025-04-23,Quarta-feira,Mulheres,18-24
346,Camisetas Series,Homens 18-24,Imagem 2,6750,675,1291.41,10.0,1.91,415,3.11,44695.08,34.61,2025-04-04,Sexta-feira,Homens,18-24
347,Camisetas Filmes,Mulheres 18-24,Imagem 3,3842,255,1020.42,6.64,4.0,94,10.86,11577.84,11.35,2025-04-15,Terça-feira,Mulheres,18-24
348,Camisetas Filmes,Mulheres 18-24,Carrossel 2,11603,558,59.9,4.81,0.11,392,0.15,19032.43,317.74,2025-04-20,Domingo,Mulheres,18-24
349,Camisetas Filmes,Mulheres 18-24,Video 2,11801,668,894.57,5.66,1.34,586,1.53,15320.13,17.13,2025-04-21,Segunda-feira,Mulheres,18-24
350,Camisetas Series,Homens 18-24,Imagem 3,8743,113,1018.29,1.29,9.01,59,17.26,3285.16,3.23,2025-04-01,Terça-feira,Homens,18-24
351,Camisetas Filmes,Homens 18-24,Video 3,17466,1490,1166.27,8.53,0.78,1413,0.83,51915.84,44.51,2025-04-26,Sábado,Homens,18-24
352,Camisetas Filmes,Mulheres 24-30,Video 2,13043,502,367.74,3.85,0.73,68,5.41,4951.64,13.47,2025-04-26,Sábado,Mulheres,24-30
353,Camisetas Filmes,Homens 24-30,Carrossel 2,13242,901,1067.81,6.8,1.19,482,2.22,48554.3,45.47,2025-04-13,Domingo,Homens,24-30
354,Camisetas Filmes,Mulheres 18-24,Imagem 2,9108,746,1144.37,8.19,1.53,83,13.79,6436.71,5.62,2025-04-14,Segunda-feira,Mulheres,18-24
355,Blusas Inverno,Mulheres 18-24,Imagem 3,3559,338,212.7,9.5,0.63,280,0.76,32280.87,151.77,2025-04-18,Sexta-feira,Mulheres,18-24
356,Camisetas Series,Mulheres 18-24,Imagem 2,19766,1149,267.29,5.81,0.23,671,0.4,74111.01,277.27,2025-04-06,Domingo,Mulheres,18-24
357,Camisetas Filmes,Mulheres 24-30,Carrossel 2,4808,398,347.83,8.28,0.87,298,1.17,22017.07,63.3,2025-04-28,Segunda-feira,Mulheres,24-30
358,Blusas Inverno,Mulheres 24-30,Carrossel 2,2823,166,241.32,5.88,1.45,106,2.28,7492.06,31.05,2025-04-05,Sábado,Mulheres,24-30
359,Camisetas Filmes,Homens 24-30,Imagem 1,19310,996,1025.51,5.16,1.03,315,3.26,30658.32,29.9,2025-04-12,Sábado,Homens,24-30
360,Acessorios,Homens 18-24,Video 3,9338,886,54.37,9.49,0.06,223,0.24,18471.34,339.73,2025-04-01,Terça-feira,Homens,18-24
361,Camisetas Filmes,Homens 24-30,Imagem 1,14883,755,1065.56,5.07,1.41,554,1.92,68924.45,64.68,2025-04-04,Sexta-feira,Homens,24-30
362,Camisetas Series,Homens 24-30,Video 1,16468,114,466.28,0.69,4.09,23,20.27,2343.64,5.03,2025-04-04,Sexta-feira,Homens,24-30
363,Camisetas Filmes,Homens 24-30,Video 3,13270,833,700.38,6.28,0.84,386,1.81,24149.92,34.48,2025-04-27,Domingo,Homens,24-30
364,Camisetas Filmes,Homens 18-24,Carrossel 1,12395,292,308.79,2.36,1.06,275,1.12,17684.11,57.27,2025-04-09,Quarta-feira,Homens,18-24
365,Camisetas Filmes,Homens 24-30,Carrossel 1,8297,53,1146.46,0.64,21.63,19,60.34,1354.71,1.18,2025-04-04,Sexta-feira,Homens,24-30
366,Camisetas Series,Mulheres 18-24,Video 3,18430,826,1243.87,4.48,1.51,253,4.92,17978.82,14.45,2025-04-26,Sábado,Mulheres,18-24
367,Camisetas Filmes,Mulheres 24-30,Carrossel 1,10032,243,1409.25,2.42,5.8,185,7.62,18786.56,13.33,2025-04-10,Quinta-feira,Mulheres,24-30
368,Camisetas Filmes,Homens 24-30,Imagem 1,14737,1309,1160.78,8.88,0.89,32,36.27,1570.13,1.35,2025-04-07,Segunda-feira,Homens,24-30
369,Camisetas Series,Homens 18-24,Video 1,4306,354,98.69,8.22,0.28,306,0.32,28213.92,285.88,2025-04-26,Sábado,Homens,18-24
370,Camisetas Series,Homens 18-24,Imagem 1,9019,808,114.14,8.96,0.14,449,0.25,21746.83,190.53,2025-04-16,Quarta-feira,Homens,18-24
371,Blusas Inverno,Mulheres 18-24,Imagem 2,2849,85,780.65,2.98,9.18,37,21.1,1791.4,2.29,2025-03-30,Domingo,Mulheres,18-24
372,Camisetas Filmes,Mulheres 24-30,Imagem 3,19922,1274,1170.18,6.39,0.92,656,1.78,31940.9,27.3,2025-04-12,Sábado,Mulheres,24-30
373,Camisetas Filmes,Mulheres 18-24,Carrossel 1,18080,502,649.66,2.78,1.29,140,4.64,4353.41,6.7,2025-04-16,Quarta-feira,Mulheres,18-24
374,Acessorios,Mulheres 18-24,Carrossel 1,14998,1188,768.65,7.92,0.65,705,1.09,84006.84,109.29,2025-04-20,Domingo,Mulheres,18-24
375,Camisetas Filmes,Mulheres 24-30,Video 3,18185,702,1059.65,3.86,1.51,418,2.54,16687.3,15.75,2025-04-15,Terça-feira,Mulheres,24-30
376,Camisetas Series,Homens 18-24,Video 3,7025,600,736.6,8.54,1.23,230,3.2,12666.94,17.2,2025-03-30,Domingo,Homens,18-24
377,Camisetas Filmes,Homens 24-30,Carrossel 1,16172,168,865.46,1.04,5.15,106,8.16,8557.24,9.89,2025-04-07,Segunda-feira,Homens,24-30
378,Camisetas Series,Mulheres 18-24,Carrossel 1,13727,547,419.74,3.98,0.77,338,1.24,30308.66,72.21,2025-04-26,Sábado,Mulheres,18-24
379,Blusas Inverno,Homens 24-30,Carrossel 2,13159,239,826.67,1.82,3.46,212,3.9,9338.21,11.3,2025-03-31,Segunda-feira,Homens,24-30
380,Camisetas Filmes,Homens 18-24,Video 2,13359,1288,924.24,9.64,0.72,149,6.2,6528.63,7.06,2025-04-25,Sexta-feira,Homens,18-24
381,Camisetas Filmes,Homens 24-30,Imagem 2,16708,477,1310.74,2.85,2.75,170,7.71,9404.2,7.17,2025-04-04,Sexta-feira,Homens,24-30
382,Camisetas Filmes,Mulheres 18-24,Imagem 1,7940,244,1445.01,3.07,5.92,30,48.17,2990.64,2.07,2025-04-10,Quinta-feira,Mulheres,18-24
383,Blusas Inverno,Mulheres 24-30,Carrossel 2,8949,762,926.38,8.51,1.22,209,4.43,13514.61,14.59,2025-04-21,Segunda-feira,Mulheres,24-30
384,Camisetas Filmes,Homens 24-30,Imagem 2,19090,708,1174.5,3.71,1.66,389,3.02,27862.14,23.72,2025-04-26,Sábado,Homens,24-30
385,Camisetas Filmes,Homens 24-30,Imagem 3,11106,585,571.48,5.27,0.98,509,1.12,36444.61,63.77,2025-04-28,Segunda-feira,Homens,24-30
386,Camisetas Filmes,Homens 18-24,Carrossel 2,11493,466,587.52,4.05,1.26,211,2.78,6239.6,10.62,2025-04-24,Quinta-feira,Homens,18-24
387,Blusas Inverno,Homens 18-24,Imagem 2,5781,66,428.12,1.14,6.49,53,8.08,2889.52,6.75,2025-04-18,Sexta-feira,Homens,18-24
388,Camisetas Filmes,Homens 24-30,Imagem 2,11809,521,600.77,4.41,1.15,251,2.39,18807.47,31.31,2025-04-19,Sábado,Homens,24-30
389,Blusas Inverno,Mulheres 18-24,Imagem 3,9432,831,1241.31,8.81,1.49,740,1.68,65985.39,53.16,2025-04-21,Segunda-feira,Mulheres,18-24
390,Camisetas Series,Mulheres 18-24,Carrossel 2,16100,394,1112.52,2.45,2.82,180,6.18,7546.78,6.78,2025-04-25,Sexta-feira,Mulheres,18-24
391,Camisetas Filmes,Homens 18-24,Carrossel 2,7030,605,1485.97,8.61,2.46,60,24.77,4643.67,3.13,2025-04-20,Domingo,Homens,18-24
392,Camisetas Filmes,Mulheres 24-30,Video 1,2589,245,59.26,9.46,0.24,35,1.69,3823.91,64.53,2025-04-02,Quarta-feira,Mulheres,24-30
393,Camisetas Series,Mulheres 18-24,Imagem 2,3227,127,63.26,3.94,0.5,116,0.55,7229.13,114.28,2025-04-01,Terça-feira,Mulheres,18-24
394,Camisetas Series,Mulheres 24-30,Carrossel 2,16986,82,59.59,0.48,0.73,70,0.85,4629.37,77.69,2025-04-10,Quinta-feira,Mulheres,24-30
395,Camisetas Filmes,Mulheres 18-24,Imagem 1,18347,1529,448.37,8.33,0.29,587,0.76,15681.27,34.97,2025-04-16,Quarta-feira,Mulheres,18-24
396,Camisetas Series,Mulheres 18-24,Video 3,6874,159,1381.17,2.31,8.69,134,10.31,5345.23,3.87,2025-04-04,Sexta-feira,Mulheres,18-24
397,Camisetas Filmes,Mulheres 24-30,Imagem 2,18250,566,1232.06,3.1,2.18,273,4.51,28526.76,23.15,2025-04-01,Terça-feira,Mulheres,24-30
398,Acessorios,Mulheres 18-24,Video 1,13224,881,715.55,6.66,0.81,249,2.87,30881.8,43.16,2025-04-13,Domingo,Mulheres,18-24
399,Camisetas Series,Mulheres 24-30,Imagem 2,10829,215,997.92,1.99,4.64,166,6.01,16759.13,16.79,2025-04-13,Domingo,Mulheres,24-30
400,Blusas Inverno,Homens 18-24,Video 1,14280,826,596.9,5.78,0.72,487,1.23,14907.8,24.98,2025-04-12,Sábado,Homens,18-24
401,Camisetas Series,Mulheres 18-24,Imagem 1,6615,134,774.79,2.03,5.78,111,6.98,9933.47,12.82,2025-04-07,Segunda-feira,Mulheres,18-24
402,Camisetas Series,Homens 24-30,Imagem 3,19541,1807,1462.07,9.25,0.81,1081,1.35,126385.35,86.44,2025-04-19,Sábado,Homens,24-30
403,Acessorios,Mulheres 24-30,Imagem 2,7927,758,1336.95,9.56,1.76,486,2.75,25325.22,18.94,2025-03-30,Domingo,Mulheres,24-30
404,Camisetas Series,Homens 18-24,Video 1,10187,970,837.39,9.52,0.86,673,1.24,19039.29,22.74,2025-04-07,Segunda-feira,Homens,18-24
405,Acessorios,Homens 24-30,Imagem 3,1513,76,901.2,5.02,11.86,50,18.02,5894.37,6.54,2025-04-16,Quarta-feira,Homens,24-30
406,Camisetas Filmes,Mulheres 24-30,Video 2,6323,627,398.68,9.92,0.64,398,1.0,36895.99,92.55,2025-04-09,Quarta-feira,Mulheres,24-30
407,Blusas Inverno,Mulheres 18-24,Imagem 3,13577,336,1196.22,2.47,3.56,40,29.91,3003.17,2.51,2025-04-12,Sábado,Mulheres,18-24
408,Camisetas Series,Homens 18-24,Imagem 3,2759,75,683.78,2.72,9.12,9,75.98,531.53,0.78,2025-04-15,Terça-feira,Homens,18-24
409,Camisetas Filmes,Homens 18-24,Video 3,11694,110,969.48,0.94,8.81,100,9.69,12425.86,12.82,2025-04-25,Sexta-feira,Homens,18-24
410,Blusas Inverno,Homens 18-24,Carrossel 2,8475,414,851.9,4.88,2.06,192,4.44,13091.48,15.37,2025-04-27,Domingo,Homens,18-24
411,Camisetas Filmes,Homens 18-24,Video 3,3808,366,478.3,9.61,1.31,126,3.8,12135.17,25.37,2025-04-08,Terça-feira,Homens,18-24
412,Camisetas Series,Mulheres 24-30,Video 1,9780,207,601.0,2.12,2.9,200,3.0,17678.02,29.41,2025-04-03,Quinta-feira,Mulheres,24-30
413,Camisetas Filmes,Homens 18-24,Video 3,11376,788,204.5,6.93,0.26,5,40.9,596.48,2.92,2025-04-05,Sábado,Homens,18-24
414,Blusas Inverno,Mulheres 18-24,Carrossel 2,12793,602,198.24,4.71,0.33,89,2.23,3892.79,19.64,2025-03-30,Domingo,Mulheres,18-24
415,Camisetas Filmes,Mulheres 18-24,Carrossel 2,19251,1186,793.04,6.16,0.67,211,3.76,5829.13,7.35,2025-04-13,Domingo,Mulheres,18-24
416,Camisetas Filmes,Homens 18-24,Imagem 3,19160,240,915.54,1.25,3.81,200,4.58,11488.61,12.55,2025-04-20,Domingo,Homens,18-24
417,Camisetas Series,Mulheres 18-24,Video 3,1404,87,650.02,6.2,7.47,10,65.0,974.84,1.5,2025-04-09,Quarta-feira,Mulheres,18-24
418,Acessorios,Homens 18-24,Imagem 2,19741,1117,295.9,5.66,0.26,779,0.38,32679.19,110.44,2025-04-23,Quarta-feira,Homens,18-24
419,Camisetas Series,Mulheres 18-24,Video 2,10867,599,765.03,5.51,1.28,64,11.95,2670.13,3.49,2025-04-25,Sexta-feira,Mulheres,18-24
420,Camisetas Filmes,Mulheres 18-24,Video 2,14798,663,752.14,4.48,1.13,78,9.64,4766.77,6.34,2025-04-04,Sexta-feira,Mulheres,18-24
421,Camisetas Filmes,Mulheres 24-30,Imagem 2,17246,1266,944.17,7.34,0.75,937,1.01,33448.31,35.43,2025-03-30,Domingo,Mulheres,24-30
422,Camisetas Filmes,Mulheres 18-24,Video 2,1221,100,531.71,8.19,5.32,79,6.73,4976.13,9.36,2025-04-14,Segunda-feira,Mulheres,18-24
423,Camisetas Filmes,Mulheres 24-30,Imagem 3,15425,735,674.39,4.76,0.92,666,1.01,81533.41,120.9,2025-04-12,Sábado,Mulheres,24-30
424,Camisetas Series,Mulheres 18-24,Carrossel 1,10844,706,924.66,6.51,1.31,205,4.51,14944.7,16.16,2025-04-18,Sexta-feira,Mulheres,18-24
425,Camisetas Filmes,Homens 24-30,Carrossel 1,14049,703,472.6,5.0,0.67,648,0.73,48017.27,101.6,2025-04-13,Domingo,Homens,24-30
426,Camisetas Filmes,Mulheres 24-30,Imagem 2,11678,820,456.44,7.02,0.56,804,0.57,51691.98,113.25,2025-04-16,Quarta-feira,Mulheres,24-30
427,Camisetas Filmes,Homens 18-24,Video 1,19476,459,908.73,2.36,1.98,279,3.26,11994.97,13.2,2025-04-21,Segunda-feira,Homens,18-24
428,Camisetas Filmes,Mulheres 18-24,Imagem 1,16126,1500,353.99,9.3,0.24,596,0.59,64444.4,182.05,2025-03-30,Domingo,Mulheres,18-24
429,Camisetas Series,Homens 18-24,Video 1,14406,1428,773.99,9.91,0.54,1297,0.6,71702.39,92.64,2025-04-02,Quarta-feira,Homens,18-24
430,Blusas Inverno,Mulheres 18-24,Video 2,6050,483,1194.16,7.98,2.47,37,32.27,2586.55,2.17,2025-04-15,Terça-feira,Mulheres,18-24
431,Camisetas Series,Mulheres 18-24,Carrossel 2,14133,1144,784.59,8.09,0.69,856,0.92,67936.03,86.59,2025-03-30,Domingo,Mulheres,18-24
432,Camisetas Series,Mulheres 18-24,Imagem 3,18593,1266,975.36,6.81,0.77,174,5.61,6253.03,6.41,2025-04-08,Terça-feira,Mulheres,18-24
433,Camisetas Filmes,Homens 18-24,Imagem 2,12632,390,988.15,3.09,2.53,22,44.92,1789.08,1.81,2025-03-30,Domingo,Homens,18-24
434,Blusas Inverno,Mulheres 24-30,Video 3,11865,931,203.62,7.85,0.22,100,2.04,5087.38,24.98,2025-04-23,Quarta-feira,Mulheres,24-30
435,Camisetas Filmes,Homens 18-24,Imagem 2,15607,816,617.14,5.23,0.76,790,0.78,73434.88,118.99,2025-04-10,Quinta-feira,Homens,18-24
436,Camisetas Series,Mulheres 18-24,Carrossel 1,12303,100,750.02,0.81,7.5,37,20.27,2464.11,3.29,2025-04-06,Domingo,Mulheres,18-24
437,Camisetas Filmes,Homens 18-24,Video 1,4803,475,1413.98,9.89,2.98,72,19.64,4307.97,3.05,2025-04-20,Domingo,Homens,18-24
438,Blusas Inverno,Mulheres 18-24,Imagem 3,15920,473,805.62,2.97,1.7,178,4.53,12925.69,16.04,2025-04-09,Quarta-feira,Mulheres,18-24
439,Camisetas Filmes,Homens 18-24,Carrossel 2,15825,703,147.4,4.44,0.21,45,3.28,4770.84,32.37,2025-03-30,Domingo,Homens,18-24
440,Camisetas Filmes,Mulheres 18-24,Video 1,1740,158,547.46,9.08,3.46,27,20.28,2503.28,4.57,2025-04-15,Terça-feira,Mulheres,18-24
441,Camisetas Filmes,Homens 18-24,Carrossel 1,8992,578,302.96,6.43,0.52,163,1.86,9470.13,31.26,2025-04-06,Domingo,Homens,18-24
442,Blusas Inverno,Homens 18-24,Video 3,16140,524,1206.75,3.25,2.3,188,6.42,8204.07,6.8,2025-04-04,Sexta-feira,Homens,18-24
443,Camisetas Series,Homens 18-24,Video 3,13962,109,1119.21,0.78,10.27,25,44.77,1748.94,1.56,2025-04-24,Quinta-feira,Homens,18-24
444,Camisetas Filmes,Homens 18-24,Video 3,13741,59,1071.87,0.43,18.17,13,82.45,686.85,0.64,2025-04-26,Sábado,Homens,18-24
445,Blusas Inverno,Mulheres 24-30,Video 1,19918,258,1209.28,1.3,4.69,95,12.73,5850.03,4.84,2025-04-23,Quarta-feira,Mulheres,24-30
446,Blusas Inverno,Homens 18-24,Imagem 2,15993,283,430.41,1.77,1.52,250,1.72,19442.88,45.17,2025-04-07,Segunda-feira,Homens,18-24
447,Camisetas Series,Homens 18-24,Imagem 3,13734,1301,619.19,9.47,0.48,233,2.66,13931.64,22.5,2025-04-20,Domingo,Homens,18-24
448,Camisetas Filmes,Mulheres 24-30,Carrossel 2,6653,354,1382.09,5.32,3.9,302,4.58,10109.51,7.31,2025-04-11,Sexta-feira,Mulheres,24-30
449,Camisetas Filmes,Homens 18-24,Carrossel 1,11262,291,395.93,2.58,1.36,59,6.71,2554.96,6.45,2025-04-13,Domingo,Homens,18-24
450,Camisetas Filmes,Homens 18-24,Carrossel 1,17738,845,656.45,4.76,0.78,141,4.66,11629.77,17.72,2025-04-26,Sábado,Homens,18-24
451,Camisetas Filmes,Mulheres 18-24,Video 3,7086,548,971.48,7.73,1.77,177,5.49,14246.95,14.67,2025-04-11,Sexta-feira,Mulheres,18-24
452,Camisetas Series,Mulheres 24-30,Carrossel 2,10464,193,321.29,1.84,1.66,115,2.79,9998.21,31.12,2025-04-05,Sábado,Mulheres,24-30
453,Blusas Inverno,Homens 18-24,Imagem 3,1314,112,247.98,8.52,2.21,104,2.38,6593.02,26.59,2025-04-07,Segunda-feira,Homens,18-24
454,Camisetas Filmes,Homens 18-24,Carrossel 2,14406,1057,652.66,7.34,0.62,909,0.72,67147.79,102.88,2025-04-24,Quinta-feira,Homens,18-24
455,Camisetas Series,Homens 18-24,Video 1,19526,113,1204.03,0.58,10.66,28,43.0,1517.85,1.26,2025-04-17,Quinta-feira,Homens,18-24
456,Camisetas Series,Mulheres 18-24,Video 2,8367,600,468.57,7.17,0.78,468,1.0,38172.44,81.47,2025-04-17,Quinta-feira,Mulheres,18-24
457,Camisetas Series,Mulheres 18-24,Carrossel 2,19013,1096,214.16,5.76,0.2,233,0.92,12066.81,56.34,2025-04-07,Segunda-feira,Mulheres,18-24
458,Camisetas Filmes,Mulheres 24-30,Imagem 3,18761,1734,1147.34,9.24,0.66,1556,0.74,150773.33,131.41,2025-04-02,Quarta-feira,Mulheres,24-30
459,Blusas Inverno,Homens 18-24,Imagem 2,14931,259,1117.18,1.73,4.31,126,8.87,6901.13,6.18,2025-04-13,Domingo,Homens,18-24
460,Blusas Inverno,Mulheres 18-24,Imagem 1,15736,588,555.44,3.74,0.94,89,6.24,6132.72,11.04,2025-04-17,Quinta-feira,Mulheres,18-24
461,Blusas Inverno,Homens 24-30,Video 1,8764,264,1225.52,3.01,4.64,179,6.85,19887.77,16.23,2025-04-20,Domingo,Homens,24-30
462,Camisetas Series,Homens 18-24,Video 3,6438,192,1188.03,2.98,6.19,52,22.85,5488.29,4.62,2025-04-26,Sábado,Homens,18-24
463,Camisetas Filmes,Mulheres 18-24,Imagem 3,18441,625,915.44,3.39,1.46,172,5.32,9866.84,10.78,2025-04-22,Terça-feira,Mulheres,18-24
464,Camisetas Series,Homens 18-24,Video 2,10480,636,437.65,6.07,0.69,526,0.83,64986.68,148.49,2025-04-02,Quarta-feira,Homens,18-24
465,Camisetas Filmes,Homens 24-30,Video 1,5442,542,1137.64,9.96,2.1,421,2.7,49205.16,43.25,2025-03-30,Domingo,Homens,24-30
466,Acessorios,Mulheres 18-24,Video 2,5157,409,1305.81,7.93,3.19,127,10.28,5032.29,3.85,2025-04-07,Segunda-feira,Mulheres,18-24
467,Camisetas Filmes,Homens 18-24,Imagem 3,9111,829,1273.16,9.1,1.54,402,3.17,29726.24,23.35,2025-04-19,Sábado,Homens,18-24
468,Camisetas Filmes,Mulheres 24-30,Video 2,14573,818,705.39,5.61,0.86,648,1.09,67689.99,95.96,2025-04-01,Terça-feira,Mulheres,24-30
469,Camisetas Filmes,Mulheres 18-24,Video 1,14200,1105,1137.21,7.78,1.03,755,1.51,53204.52,46.79,2025-04-14,Segunda-feira,Mulheres,18-24
470,Camisetas Filmes,Mulheres 18-24,Carrossel 2,11724,55,1309.92,0.47,23.82,54,24.26,5306.71,4.05,2025-03-30,Domingo,Mulheres,18-24
471,Camisetas Series,Homens 24-30,Carrossel 2,12738,179,1203.73,1.41,6.72,101,11.92,4725.08,3.93,2025-04-09,Quarta-feira,Homens,24-30
472,Camisetas Filmes,Homens 18-24,Video 3,7941,556,439.38,7.0,0.79,290,1.52,17044.9,38.79,2025-04-07,Segunda-feira,Homens,18-24
473,Camisetas Filmes,Mulheres 24-30,Carrossel 1,19551,1795,753.74,9.18,0.42,703,1.07,80434.07,106.71,2025-04-25,Sexta-feira,Mulheres,24-30
474,Blusas Inverno,Mulheres 18-24,Imagem 1,2505,75,957.96,2.99,12.77,58,16.52,1544.43,1.61,2025-03-31,Segunda-feira,Mulheres,18-24
475,Camisetas Series,Mulheres 18-24,Carrossel 1,15460,984,50.98,6.36,0.05,981,0.05,66492.11,1304.28,2025-04-28,Segunda-feira,Mulheres,18-24
476,Camisetas Filmes,Mulheres 24-30,Carrossel 1,10891,375,1317.91,3.44,3.51,140,9.41,4806.76,3.65,2025-04-05,Sábado,Mulheres,24-30
477,Camisetas Series,Homens 18-24,Imagem 3,9204,134,589.17,1.46,4.4,42,14.03,1267.51,2.15,2025-04-21,Segunda-feira,Homens,18-24
478,Camisetas Series,Homens 18-24,Video 2,8672,489,1000.45,5.64,2.05,360,2.78,12426.61,12.42,2025-04-12,Sábado,Homens,18-24
479,Camisetas Filmes,Homens 24-30,Imagem 2,16624,209,242.41,1.26,1.16,57,4.25,4385.83,18.09,2025-04-04,Sexta-feira,Homens,24-30
480,Camisetas Filmes,Mulheres 18-24,Carrossel 2,1304,51,1058.62,3.91,20.76,7,151.23,866.71,0.82,2025-04-01,Terça-feira,Mulheres,18-24
481,Camisetas Filmes,Homens 18-24,Video 3,5331,294,152.7,5.51,0.52,196,0.78,6650.89,43.56,2025-04-26,Sábado,Homens,18-24
482,Camisetas Filmes,Homens 18-24,Video 1,4381,210,582.96,4.79,2.78,76,7.67,2942.18,5.05,2025-04-01,Terça-feira,Homens,18-24
483,Blusas Inverno,Homens 18-24,Carrossel 1,5681,120,819.24,2.11,6.83,1,819.24,86.03,0.11,2025-04-10,Quinta-feira,Homens,18-24
484,Camisetas Series,Mulheres 18-24,Carrossel 1,15421,769,1097.53,4.99,1.43,643,1.71,64188.69,58.48,2025-04-15,Terça-feira,Mulheres,18-24
485,Camisetas Series,Mulheres 24-30,Video 3,15496,494,175.7,3.19,0.36,51,3.45,1989.07,11.32,2025-03-31,Segunda-feira,Mulheres,24-30
486,Blusas Inverno,Homens 18-24,Video 1,13583,769,1446.71,5.66,1.88,322,4.49,33522.67,23.17,2025-04-25,Sexta-feira,Homens,18-24
487,Camisetas Filmes,Homens 18-24,Imagem 2,10075,710,172.16,7.05,0.24,566,0.3,48166.55,279.78,2025-04-17,Quinta-feira,Homens,18-24
488,Camisetas Series,Homens 18-24,Video 2,1878,127,347.9,6.76,2.74,48,7.25,4789.65,13.77,2025-04-15,Terça-feira,Homens,18-24
489,Camisetas Series,Mulheres 18-24,Video 2,2788,250,1351.97,8.97,5.41,244,5.54,11939.92,8.83,2025-04-08,Terça-feira,Mulheres,18-24
490,Camisetas Filmes,Homens 24-30,Video 3,4694,173,774.39,3.69,4.48,152,5.09,4879.38,6.3,2025-04-22,Terça-feira,Homens,24-30
491,Camisetas Filmes,Homens 18-24,Imagem 1,12832,698,241.38,5.44,0.35,582,0.41,39044.26,161.75,2025-04-16,Quarta-feira,Homens,18-24
492,Blusas Inverno,Mulheres 18-24,Carrossel 1,16434,1627,155.84,9.9,0.1,1202,0.13,38167.41,244.91,2025-04-11,Sexta-feira,Mulheres,18-24
493,Camisetas Series,Mulheres 18-24,Video 2,8069,90,1387.74,1.12,15.42,50,27.75,3783.05,2.73,2025-04-26,Sábado,Mulheres,18-24
494,Camisetas Filmes,Homens 24-30,Video 3,14879,1487,633.3,9.99,0.43,1311,0.48,103118.65,162.83,2025-04-26,Sábado,Homens,24-30
495,Blusas Inverno,Mulheres 18-24,Carrossel 1,10092,135,499.36,1.34,3.7,130,3.84,15222.02,30.48,2025-04-13,Domingo,Mulheres,18-24
496,Camisetas Filmes,Mulheres 18-24,Carrossel 1,18576,719,616.56,3.87,0.86,649,0.95,65758.25,106.65,2025-04-16,Quarta-feira,Mulheres,18-24
497,Camisetas Filmes,Homens 18-24,Video 1,11163,945,1108.44,8.47,1.17,866,1.28,42316.0,38.18,2025-04-18,Sexta-feira,Homens,18-24
498,Acessorios,Homens 18-24,Imagem 2,3825,272,218.18,7.11,0.8,28,7.79,1566.01,7.18,2025-04-14,Segunda-feira,Homens,18-24
499,Acessorios,Mulheres 18-24,Carrossel 1,4913,56,1076.46,1.14,19.22,44,24.46,1149.94,1.07,2025-04-23,Quarta-feira,Mulheres,18-24
500,Camisetas Filmes,Mulheres 18-24,Carrossel 2,12360,1121,799.97,9.07,0.71,530,1.51,22099.04,27.62,2025-04-22,Terça-feira,Mulheres,18-24
501,Blusas Inverno,Homens 24-30,Carrossel 1,9806,800,1335.3,8.16,1.67,789,1.69,90726.91,67.94,2025-03-30,Domingo,Homens,24-30
502,Blusas Inverno,Mulheres 18-24,Imagem 3,15068,607,809.59,4.03,1.33,269,3.01,25886.5,31.97,2025-04-15,Terça-feira,Mulheres,18-24
503,Camisetas Series,Homens 24-30,Video 1,17257,982,790.63,5.69,0.81,56,14.12,4197.82,5.31,2025-04-02,Quarta-feira,Homens,24-30
504,Camisetas Filmes,Mulheres 18-24,Carrossel 1,13048,372,419.92,2.85,1.13,52,8.08,5950.2,14.17,2025-04-25,Sexta-feira,Mulheres,18-24
505,Camisetas Filmes,Mulheres 24-30,Video 1,8484,808,787.8,9.52,0.97,45,17.51,4989.1,6.33,2025-04-28,Segunda-feira,Mulheres,24-30
506,Acessorios,Homens 18-24,Imagem 1,9013,97,734.06,1.08,7.57,49,14.98,5734.11,7.81,2025-04-08,Terça-feira,Homens,18-24
507,Blusas Inverno,Mulheres 24-30,Carrossel 1,2158,191,1214.52,8.85,6.36,182,6.67,18030.12,14.85,2025-04-23,Quarta-feira,Mulheres,24-30
508,Camisetas Filmes,Mulheres 18-24,Video 3,8356,379,409.98,4.54,1.08,368,1.11,20973.61,51.16,2025-04-22,Terça-feira,Mulheres,18-24
